chargeDeviceID,name,latitude,longitude,town,county,postcode,locationType,chargeDeviceStatus,paymentRequired,accessRestrictionFlag,parkingFeesFlag,subscriptionRequired,access24Hours,connector1Type,connector1RatedOutputKW,connector1ChargeMethod,connector1Status
cb4e7af98667b2c91c442d0412640c4b,Wellington Street,54.974227,-1.625113,Newcastle upon Tyne,Tyne and Wear,NE4 5SX,On-street,In service,Yes,0,0,0,Yes,CCS Type 2 Combo (IEC62196),175,DC,In service
d89b833158f0d9a73fd33bb243fe5786,Wellington Street,54.974227,-1.625113,Newcastle upon Tyne,Tyne and Wear,NE4 5SX,On-street,In service,Yes,0,0,0,Yes,CCS Type 2 Combo (IEC62196),175,DC,In service
14ea332d0684051d9fef033a5f1607dd,Northumbria Police,55.031668,-1.580617,Newcastle upon Tyne,Tyne and Wear,NE12 6QN,Workplace car park,In service,Yes,1,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
3f0f51954aaf9e72904483e4f2e061b8,"Stella House, Goldcrest Way,",54.9687,-1.711496,Newcastle upon Tyne,Northumberland,NE15 8NY,Other,In service,No,0,0,0,Yes,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
8b898ad36d846003ddc0c7f4ff290771,"Stella House, Goldcrest Way,",54.9687,-1.711496,Newcastle upon Tyne,Northumberland,NE15 8NY,Other,In service,No,0,0,0,Yes,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
ad16c88d17870c1cbf2b00d416d82fde,RAW GREENE KING NEWTON PARK 2,55.001592,-1.580241,Newcastle upon Tyne,Tyne and Wear,NE7 7EB,Other,In service,No,0,0,0,Yes,Type 2 Mennekes (IEC62196),22,Three Phase AC,In service
6e1cfa65f7b5f7e2eded1a58b713ceab,RAW GREENE KING NEWTON PARK 2,55.001592,-1.580241,Newcastle upon Tyne,Tyne and Wear,NE7 7EB,Other,In service,No,0,0,0,Yes,Type 2 Mennekes (IEC62196),22,Three Phase AC,In service
110ca8c36b24a7fbaf75c670ab1c75f2,RAW GREENE KING NEWTON PARK 2,55.001592,-1.580241,Newcastle upon Tyne,Tyne and Wear,NE7 7EB,Other,In service,No,0,0,0,Yes,Type 2 Mennekes (IEC62196),22,Three Phase AC,In service
599201e196442ca6f45c7303aecc4f99,RAW GREENE KING JINGLING GATE 1,55.004827,-1.708071,Newcastle upon Tyne,Tyne and Wear,NE5 1NL,Other,In service,No,0,0,0,Yes,Type 2 Mennekes (IEC62196),22,Three Phase AC,In service
c5e348ddd390ebc319d012348ff9ad4a,RAW GREENE KING JINGLING GATE 1,55.004827,-1.708071,Newcastle upon Tyne,Tyne and Wear,NE5 1NL,Other,In service,No,0,0,0,Yes,Type 2 Mennekes (IEC62196),22,Three Phase AC,In service
7b8facd36dee002ebd713557e6adc2cb,RAW GREENE KING BLACK BULL 2,55.00984,-1.575806,Newcastle upon Tyne,Tyne and Wear,NE7 7XE,Other,In service,No,0,0,0,Yes,Type 2 Mennekes (IEC62196),22,Three Phase AC,In service
ee9343b9fd3d2b533d0e81673cb8b1b7,RAW GREENE KING BLACK BULL 2,55.00984,-1.575806,Newcastle upon Tyne,Tyne and Wear,NE7 7XE,Other,In service,No,0,0,0,Yes,Type 2 Mennekes (IEC62196),22,Three Phase AC,In service
